image_file,text_id,text,confidence,bbox_coords
8819000_h2_w6.png,1,Bombay,0.9972,"[[436.0, 195.0], [624.0, 205.0], [621.0, 263.0], [432.0, 253.0]]"
8819000_h2_w6.png,3,INDIA,0.9944,"[[778.0, 241.0], [1186.0, 246.0], [1185.0, 311.0], [777.0, 306.0]]"
8819000_h2_w6.png,4,11352,0.9934,"[[30.0, 297.0], [157.0, 303.0], [155.0, 348.0], [29.0, 343.0]]"
8819000_h2_w6.png,5,BAY,0.9955,"[[1798.0, 425.0], [1969.0, 425.0], [1969.0, 485.0], [1798.0, 485.0]]"
8819000_h2_w6.png,6,11201,0.9802,"[[1469.0, 544.0], [1600.0, 544.0], [1600.0, 588.0], [1469.0, 588.0]]"
8819000_h2_w6.png,7,ANG,0.9724,"[[1797.0, 656.0], [1995.0, 689.0], [1985.0, 749.0], [1787.0, 716.0]]"
8819000_h2_w6.png,8,Kozhikode,0.9967,"[[823.0, 840.0], [1046.0, 840.0], [1046.0, 883.0], [823.0, 883.0]]"
8819000_h2_w6.png,9,LACCADIVE,0.9956,"[[34.0, 864.0], [400.0, 871.0], [399.0, 930.0], [33.0, 923.0]]"
8819000_h2_w6.png,10,ISLANDS,0.9972,"[[100.0, 946.0], [327.0, 946.0], [327.0, 998.0], [100.0, 998.0]]"
8819000_h2_w6.png,11,CEYLON,0.9982,"[[1465.0, 1127.0], [1681.0, 1127.0], [1681.0, 1188.0], [1465.0, 1188.0]]"
8819000_h2_w6.png,12,8281,0.9882,"[[1333.0, 1173.0], [1446.0, 1173.0], [1446.0, 1219.0], [1333.0, 1219.0]]"
8819000_h2_w6.png,13,Colomboc,0.8975,"[[1043.0, 1187.0], [1257.0, 1194.0], [1255.0, 1246.0], [1041.0, 1239.0]]"
8819000_h2_w6.png,14,134190,0.8973,"[[184.0, 1310.0], [347.0, 1320.0], [344.0, 1372.0], [180.0, 1362.0]]"
